Date,Close/Last,Volume,Open,High,Low
04/09/2021,$138.91,9637207,$138.32,$140.18,$137.49
04/08/2021,$139.35,10238000,$140.61,$141.6828,$138.21
04/07/2021,$139.14,13702740,$140.25,$141.87,$136.82
04/06/2021,$139.54,18004750,$143.88,$145.3,$136.95
04/05/2021,$143.05,14377390,$145.5,$146,$141.74
04/01/2021,$141.52,15929210,$138.14,$142.36,$137.2009
03/31/2021,$133.6,18589550,$129.97,$135.5,$129
03/30/2021,$126.76,7970891,$124.89,$127.9,$123.858
03/29/2021,$125.71,10539570,$127.04,$127.83,$123.47
03/26/2021,$128.64,14036990,$119.67,$128.98,$119.1722
03/25/2021,$119.72,10381610,$118.76,$120.48,$116.22
03/24/2021,$121.1,20252470,$122.65,$125.8,$120.42
03/23/2021,$116.38,8263821,$119.9,$120.2,$115.56
03/22/2021,$119.33,11318720,$117.605,$121.48,$116.97
03/19/2021,$114.86,13044680,$114.51,$117.06,$112.14
03/18/2021,$114.28,9044761,$117.86,$118.78,$114.11
03/17/2021,$119.9,8342614,$116.19,$121.14,$114.9
03/16/2021,$118.5,10383010,$117.03,$121.2714,$116.92
03/15/2021,$114.88,7068801,$114.63,$115.43,$113.1
03/12/2021,$114.29,7426014,$114.55,$116.45,$113.33
03/11/2021,$117.19,7715517,$117.26,$117.85,$115.64
03/10/2021,$112.68,8820310,$115.8,$116.5,$112.58
03/09/2021,$114.22,12040810,$110.26,$114.95,$109.41
03/08/2021,$105.68,12091540,$112.8,$114.12,$105.5
03/05/2021,$113.45,9962705,$111.59,$114.34,$105.65
03/04/2021,$108.24,12433370,$115.338,$116.49,$107.13
03/03/2021,$115.44,7257143,$118.28,$119.85,$115.1
03/02/2021,$117.5,6505039,$121.84,$121.91,$117.235
03/01/2021,$122.25,7008040,$121.18,$122.48,$119.46
02/26/2021,$118.19,11626510,$116.53,$120.25,$113.44
02/25/2021,$113.93,11352790,$121.17,$121.22,$113.6
02/24/2021,$122.81,10098080,$115.05,$123.02,$114.42
02/23/2021,$116.14,9387863,$112.86,$117.8,$110.69
02/22/2021,$115.23,7850553,$117.97,$119.8699,$114.62
02/19/2021,$119.46,21054140,$121.61,$124.5,$118.9
02/18/2021,$113.43,8239621,$114,$115.63,$112.44
02/17/2021,$115.71,7237096,$116.46,$117.06,$112.09
02/16/2021,$118.35,9260050,$118.51,$121.132,$117.69
02/12/2021,$116.7,8157465,$113,$117.82,$111.69
02/11/2021,$113,12147080,$107.434,$114.3,$107.29
02/10/2021,$105.88,5001713,$106.94,$108.2,$105.03
02/09/2021,$105.38,5769176,$106.2067,$107.36,$104.7805
02/08/2021,$106.19,6621431,$101.85,$106.25,$101.76
02/05/2021,$100.71,6349259,$104.855,$105.2,$100.69
02/04/2021,$103.24,6356334,$100.21,$103.73,$100.21
02/03/2021,$99.87,5399162,$104.32,$104.41,$99.82
02/02/2021,$103.59,5108557,$102.99,$103.94,$101.77
02/01/2021,$101.21,9083609,$99.246,$102.15,$97.68
01/29/2021,$96.68,7943425,$100.23,$100.46,$96.07
01/28/2021,$101.15,7432989,$101.19,$103.35,$99.97
01/27/2021,$98.58,9782747,$102.1,$104.06,$98.08
01/26/2021,$105.53,6029762,$108.85,$108.895,$105.27
01/25/2021,$108.12,8437795,$107.51,$110.1,$107
01/22/2021,$106.33,6207648,$108.0532,$109.7536,$106.25
01/21/2021,$107.97,7273779,$109.11,$109.28,$106.27
01/20/2021,$107.84,9925975,$110.11,$110.875,$105.16
01/19/2021,$109.22,9362201,$105.1,$109.58,$104.39
01/15/2021,$103.14,8981236,$105.16,$105.42,$101.15
01/14/2021,$105.8,11662980,$102.83,$106.6,$102.7
01/13/2021,$98.05,5309991,$100.49,$100.49,$97.96
01/12/2021,$100.01,7186079,$98.53,$100.87,$98.2
01/11/2021,$97.96,8359081,$94.62,$98.3,$94.18
01/08/2021,$95.56,9059720,$96.29,$97.8,$94.8799
01/07/2021,$94.56,8784052,$92.1265,$95.0599,$91.99
01/06/2021,$90.83,9817978,$88.29,$91.9,$88.28
01/05/2021,$89.6,6987214,$86.4,$89.62,$86.4
01/04/2021,$86.87,8449949,$87.24,$89.3,$86.15
12/31/2020,$86.3,5716036,$86.99,$87.06,$85.17
12/30/2020,$86.98,6294301,$85.38,$87.57,$85.16
12/29/2020,$84.27,4518003,$85.02,$85.1197,$83.53
12/28/2020,$84.87,3018471,$86.367,$86.74,$84.56
12/24/2020,$85.33,1409156,$84.74,$85.39,$84.2
12/23/2020,$84.03,4586080,$86.3,$86.5,$83.96
12/22/2020,$85.64,3901444,$86.55,$86.61,$85.54
